# step(ns), run1 rg(Å), run2 rg(Å), run3 rg(Å)
100.0	11.102	11.583	11.885
100.1	11.268	11.560	11.068
100.2	12.291	12.147	11.372
100.3	11.699	12.331	10.890
100.4	11.495	11.706	11.353
100.5	11.525	12.177	10.719
100.6	11.789	12.430	10.891
100.7	11.651	14.035	11.384
100.8	11.320	14.004	11.491
100.9	11.414	14.514	11.440
101.0	11.595	13.931	11.223
101.1	11.366	14.145	11.140
101.2	11.102	14.253	11.725
101.3	11.651	13.244	10.521
101.4	11.604	13.061	11.103
101.5	11.109	13.260	10.879
101.6	11.203	13.108	10.961
101.7	11.183	12.590	10.790
101.8	11.018	13.022	10.912
101.9	11.342	13.579	11.175
102.0	11.478	13.466	12.226
102.1	11.416	12.811	12.030
102.2	11.388	13.000	12.648
102.3	11.172	14.884	12.292
102.4	10.988	14.320	12.843
102.5	11.918	13.634	12.552
102.6	11.084	13.709	11.792
102.7	10.905	13.254	11.798
102.8	10.976	14.191	11.788
102.9	11.182	13.750	13.103
103.0	11.007	14.483	13.837
103.1	10.893	13.637	13.559
103.2	10.939	13.595	13.261
103.3	10.700	14.547	13.525
103.4	11.209	14.176	13.594
103.5	11.209	14.915	13.666
103.6	11.244	14.172	12.645
103.7	11.337	13.360	12.804
103.8	11.353	14.066	12.638
103.9	11.123	13.576	12.818
104.0	11.346	13.605	13.406
104.1	11.787	14.223	12.911
104.2	11.448	14.145	12.261
104.3	11.088	14.482	12.919
104.4	10.800	14.819	12.719
104.5	11.138	14.692	13.191
104.6	10.762	15.024	13.111
104.7	11.202	14.638	11.876
104.8	11.036	14.047	12.170
104.9	11.017	13.743	12.383
105.0	11.187	12.844	12.232
105.1	11.387	12.383	13.033
105.2	11.288	12.631	12.586
105.3	11.204	12.260	12.491
105.4	11.067	12.075	11.458
105.5	11.066	12.217	12.179
105.6	11.022	12.565	12.588
105.7	11.193	12.973	14.260
105.8	11.183	12.247	13.860
105.9	11.417	12.194	13.453
106.0	11.167	12.315	14.365
106.1	11.119	12.213	13.682
106.2	11.280	12.086	15.191
106.3	11.552	11.781	14.152
106.4	11.366	11.970	13.927
106.5	11.168	12.209	14.561
106.6	11.474	12.130	14.227
106.7	11.326	12.328	14.952
106.8	11.116	12.219	16.171
106.9	11.271	12.322	15.777
107.0	11.359	12.130	14.888
107.1	11.071	11.682	14.274
107.2	11.654	11.272	15.406
107.3	11.416	11.258	14.987
107.4	11.439	10.937	14.593
107.5	11.330	11.361	14.444
107.6	11.778	11.777	15.388
107.7	11.393	11.926	16.860
107.8	11.119	11.396	15.882
107.9	11.121	11.485	15.994
108.0	11.080	11.413	14.822
108.1	11.276	11.339	14.600
108.2	11.643	11.865	15.867
108.3	11.579	11.498	15.763
108.4	11.057	11.450	16.669
108.5	11.084	11.642	18.475
108.6	11.127	11.182	16.793
108.7	11.492	11.293	15.243
108.8	11.515	11.561	16.070
108.9	11.519	11.339	15.319
109.0	11.089	11.639	15.548
109.1	11.302	11.442	14.668
109.2	11.266	10.976	15.282
109.3	11.211	11.069	14.997
109.4	11.617	10.955	14.517
109.5	11.893	10.986	15.274
109.6	11.995	11.259	14.941
109.7	11.731	11.155	15.710
109.8	11.298	11.242	14.705
109.9	11.382	10.856	14.246
110.0	11.646	10.802	13.449
110.1	11.851	10.877	13.856
110.2	12.018	11.203	14.932
110.3	12.120	11.057	13.739
110.4	12.254	11.044	13.053
110.5	11.460	11.120	13.036
110.6	11.335	11.371	14.933
110.7	11.812	11.372	13.591
110.8	12.107	12.001	12.650
110.9	11.736	11.323	13.777
111.0	11.763	11.642	14.283
111.1	11.547	11.765	15.654
111.2	11.240	11.308	13.527
111.3	11.563	11.008	14.071
111.4	11.774	11.087	12.760
111.5	11.616	11.540	14.866
111.6	11.172	11.067	13.983
111.7	11.055	11.617	13.440
111.8	10.651	11.263	13.317
111.9	10.673	11.552	13.296
112.0	10.882	11.275	12.011
112.1	11.511	11.397	11.679
112.2	11.233	11.508	11.351
112.3	11.232	11.302	11.415
112.4	11.204	12.056	11.029
112.5	11.264	11.935	10.776
112.6	11.120	11.923	10.774
112.7	11.099	11.340	10.553
112.8	10.869	11.525	10.610
112.9	11.019	12.290	10.737
113.0	11.100	11.680	10.589
113.1	10.887	11.984	10.418
113.2	11.171	12.215	10.526
113.3	11.274	12.106	10.767
113.4	11.148	12.149	10.509
113.5	10.754	11.735	10.651
113.6	10.921	12.347	10.478
113.7	10.710	12.477	10.373
113.8	11.171	12.782	11.057
113.9	11.021	12.352	11.122
114.0	11.203	12.137	11.616
114.1	11.002	12.283	11.284
114.2	10.965	11.559	11.705
114.3	10.716	11.444	11.609
114.4	10.790	13.021	11.206
114.5	11.072	12.997	11.317
114.6	10.969	12.382	11.608
114.7	10.844	12.913	11.506
114.8	10.699	12.592	11.274
114.9	10.819	13.705	10.717
115.0	11.018	12.946	10.723
115.1	10.944	13.338	11.608
115.2	10.878	12.490	11.531
115.3	11.009	13.095	11.542
115.4	10.924	13.247	11.784
115.5	10.874	12.714	11.647
115.6	11.032	12.064	11.276
115.7	10.760	12.169	10.926
115.8	11.016	11.846	10.880
115.9	10.848	11.750	11.415
116.0	10.875	11.990	11.460
116.1	10.912	11.634	11.977
116.2	10.838	11.388	12.052
116.3	10.857	11.472	12.046
116.4	10.897	11.705	11.484
116.5	10.937	11.930	11.409
116.6	10.947	12.614	10.289
116.7	10.872	12.898	9.919
116.8	10.783	12.155	10.073
