# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000016
1.6, 0.188176
1.8, 1.193190
2.0, 0.809475
2.2, 0.319225
2.4, 0.165941
2.6, 0.400651
2.8, 0.910226
3.0, 0.806621
3.2, 0.736782
3.4, 0.612702
3.6, 0.573539
3.8, 0.588004
4.0, 0.626104
4.2, 0.676708
4.4, 0.674880
4.6, 0.651012
4.8, 0.639649
5.0, 0.663758
5.2, 0.695223
5.4, 0.686151
5.6, 0.658180
5.8, 0.637288
6.0, 0.640802
6.2, 0.656391
6.4, 0.672635
6.6, 0.689284
6.8, 0.708846
7.0, 0.722124
7.2, 0.730623
7.4, 0.740662
7.6, 0.751021
7.8, 0.758001
8.0, 0.762506
8.2, 0.766201
8.4, 0.768762
8.6, 0.775077
8.8, 0.781000
9.0, 0.787647
9.2, 0.796687
9.4, 0.804956
9.6, 0.813467
9.8, 0.820933
10.0, 0.826745
10.2, 0.832781
10.4, 0.836406
10.6, 0.840440
10.8, 0.844650
11.0, 0.849075
11.2, 0.855650
11.4, 0.861714
11.6, 0.868415
11.8, 0.874474
12.0, 0.881320
12.2, 0.886954
12.4, 0.891919
12.6, 0.898161
12.8, 0.902890
13.0, 0.907168
13.2, 0.910884
13.4, 0.914781
13.6, 0.917581
13.8, 0.921780
14.0, 0.925751
14.2, 0.928621
14.4, 0.932434
14.6, 0.935714
14.8, 0.939901
15.0, 0.942817
