# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.171783
1.8, 1.507591
2.0, 0.907788
2.2, 0.271486
2.4, 0.112922
2.6, 0.336824
2.8, 0.896690
3.0, 0.763620
3.2, 0.742395
3.4, 0.580338
3.6, 0.541851
3.8, 0.586740
4.0, 0.659958
4.2, 0.747865
4.4, 0.733577
4.6, 0.681714
4.8, 0.666156
5.0, 0.692297
5.2, 0.723300
5.4, 0.697449
5.6, 0.661641
5.8, 0.637518
6.0, 0.641891
6.2, 0.666127
6.4, 0.692427
6.6, 0.716591
6.8, 0.736942
7.0, 0.748603
7.2, 0.752973
7.4, 0.754574
7.6, 0.756179
7.8, 0.756689
8.0, 0.756275
8.2, 0.756017
8.4, 0.758482
8.6, 0.762945
8.8, 0.768771
9.0, 0.776515
9.2, 0.784697
9.4, 0.792514
9.6, 0.799431
9.8, 0.805391
10.0, 0.810194
10.2, 0.814277
10.4, 0.817376
10.6, 0.819885
10.8, 0.823486
11.0, 0.827647
11.2, 0.832423
11.4, 0.837862
11.6, 0.843456
11.8, 0.848868
12.0, 0.855047
12.2, 0.860888
12.4, 0.867045
12.6, 0.872491
12.8, 0.877265
13.0, 0.881697
13.2, 0.885451
13.4, 0.888874
13.6, 0.892146
13.8, 0.895046
14.0, 0.898134
14.2, 0.901526
14.4, 0.904555
14.6, 0.907917
14.8, 0.911262
15.0, 0.914736
