# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 0.032640
2.0, 0.411647
2.2, 0.016049
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.034383
3.4, 0.721731
3.6, 5.169620
3.8, 13.969319
4.0, 19.299608
4.2, 22.426962
4.4, 18.719739
4.6, 10.834237
4.8, 5.491735
5.0, 3.692881
5.2, 3.670349
5.4, 4.002011
5.6, 4.633253
5.8, 5.694397
6.0, 7.212470
6.2, 8.313125
6.4, 7.853210
6.6, 6.992976
6.8, 5.900695
7.0, 4.611546
7.2, 3.430476
7.4, 2.818024
7.6, 2.800270
7.8, 2.912334
8.0, 3.131412
8.2, 3.357954
8.4, 3.640852
8.6, 3.963975
8.8, 3.953507
9.0, 4.085118
9.2, 4.135610
9.4, 4.045365
9.6, 4.041376
9.8, 4.028753
10.0, 3.946394
10.2, 4.000411
10.4, 3.867487
10.6, 3.836556
10.8, 3.747267
11.0, 3.741772
11.2, 3.667936
11.4, 3.576969
11.6, 3.544861
11.8, 3.485761
12.0, 3.456442
12.2, 3.310875
12.4, 3.244344
12.6, 3.165836
12.8, 3.024901
13.0, 2.922471
13.2, 2.810668
13.4, 2.737584
13.6, 2.705782
13.8, 2.665473
14.0, 2.620604
14.2, 2.629916
14.4, 2.608707
14.6, 2.559025
14.8, 2.521223
15.0, 2.491003
