# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 0.000000
2.0, 0.000000
2.2, 0.000000
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.017227
3.4, 0.751456
3.6, 5.400407
3.8, 14.205501
4.0, 20.107701
4.2, 23.559590
4.4, 19.804874
4.6, 11.476893
4.8, 5.735451
5.0, 3.898539
5.2, 3.877105
5.4, 4.339554
5.6, 4.865697
5.8, 5.764407
6.0, 7.276298
6.2, 8.472705
6.4, 8.119765
6.6, 7.106526
6.8, 6.182177
7.0, 4.779082
7.2, 3.552069
7.4, 2.990319
7.6, 2.942740
7.8, 3.007329
8.0, 3.190570
8.2, 3.462246
8.4, 3.646655
8.6, 3.870656
8.8, 4.038250
9.0, 4.082206
9.2, 4.167007
9.4, 4.120462
9.6, 4.034782
9.8, 3.965918
10.0, 3.939821
10.2, 3.953478
10.4, 3.881719
10.6, 3.820876
10.8, 3.708307
11.0, 3.622858
11.2, 3.594483
11.4, 3.555824
11.6, 3.493328
11.8, 3.377860
12.0, 3.276469
12.2, 3.254856
12.4, 3.112965
12.6, 3.049731
12.8, 2.951355
13.0, 2.861262
13.2, 2.834119
13.4, 2.743640
13.6, 2.711370
13.8, 2.684844
14.0, 2.681853
14.2, 2.654388
14.4, 2.643250
14.6, 2.622711
14.8, 2.637556
15.0, 2.559020
