# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 0.000000
2.0, 0.000000
2.2, 0.000000
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.040830
3.4, 0.811592
3.6, 5.878121
3.8, 16.507801
4.0, 24.392459
4.2, 28.238309
4.4, 24.197671
4.6, 14.192830
4.8, 7.446592
5.0, 5.069316
5.2, 4.806388
5.4, 5.195526
5.6, 5.845997
5.8, 6.715835
6.0, 7.837637
6.2, 8.691814
6.4, 8.257063
6.6, 7.492040
6.8, 6.679665
7.0, 5.237962
7.2, 3.981027
7.4, 3.441384
7.6, 3.289458
7.8, 3.352266
8.0, 3.519501
8.2, 3.647392
8.4, 3.791373
8.6, 4.024116
8.8, 4.190151
9.0, 4.323266
9.2, 4.431733
9.4, 4.387586
9.6, 4.322170
9.8, 4.276836
10.0, 4.216392
10.2, 4.096046
10.4, 3.925973
10.6, 3.751225
10.8, 3.605328
11.0, 3.460317
11.2, 3.330035
11.4, 3.266192
11.6, 3.217280
11.8, 3.188037
12.0, 3.159916
12.2, 3.050928
12.4, 2.919256
12.6, 2.811098
12.8, 2.732471
13.0, 2.687489
13.2, 2.656211
13.4, 2.634593
13.6, 2.618132
13.8, 2.619227
14.0, 2.605125
14.2, 2.591069
14.4, 2.554929
14.6, 2.533808
14.8, 2.489052
15.0, 2.444150
