# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000013
1.6, 0.194548
1.8, 1.245080
2.0, 0.843804
2.2, 0.336484
2.4, 0.175312
2.6, 0.413702
2.8, 0.915618
3.0, 0.819729
3.2, 0.759401
3.4, 0.626856
3.6, 0.576955
3.8, 0.586903
4.0, 0.626915
4.2, 0.682325
4.4, 0.678454
4.6, 0.649505
4.8, 0.640370
5.0, 0.668274
5.2, 0.702072
5.4, 0.691247
5.6, 0.662708
5.8, 0.639247
6.0, 0.639298
6.2, 0.653807
6.4, 0.669616
6.6, 0.687775
6.8, 0.707954
7.0, 0.723046
7.2, 0.733867
7.4, 0.745005
7.6, 0.756457
7.8, 0.764509
8.0, 0.768168
8.2, 0.770209
8.4, 0.774271
8.6, 0.778600
8.8, 0.783553
9.0, 0.789328
9.2, 0.796118
9.4, 0.804096
9.6, 0.812089
9.8, 0.819582
10.0, 0.825880
10.2, 0.831344
10.4, 0.837010
10.6, 0.841508
10.8, 0.846844
11.0, 0.852359
11.2, 0.858977
11.4, 0.865369
11.6, 0.872198
11.8, 0.879085
12.0, 0.884450
12.2, 0.889586
12.4, 0.894528
12.6, 0.899096
12.8, 0.902789
13.0, 0.906634
13.2, 0.910280
13.4, 0.913403
13.6, 0.917124
13.8, 0.920176
14.0, 0.923351
14.2, 0.926474
14.4, 0.929824
14.6, 0.933222
14.8, 0.936735
15.0, 0.940184
