# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000006
1.6, 0.154717
1.8, 1.371582
2.0, 0.836531
2.2, 0.254713
2.4, 0.110057
2.6, 0.326872
2.8, 0.923321
3.0, 0.771156
3.2, 0.733257
3.4, 0.592965
3.6, 0.568816
3.8, 0.602360
4.0, 0.653397
4.2, 0.720883
4.4, 0.719201
4.6, 0.677625
4.8, 0.650032
5.0, 0.665827
5.2, 0.699303
5.4, 0.680424
5.6, 0.654834
5.8, 0.636421
6.0, 0.644535
6.2, 0.670946
6.4, 0.696509
6.6, 0.723761
6.8, 0.747637
7.0, 0.761275
7.2, 0.768232
7.4, 0.774080
7.6, 0.779402
7.8, 0.782343
8.0, 0.783559
8.2, 0.786555
8.4, 0.790574
8.6, 0.796006
8.8, 0.802225
9.0, 0.808545
9.2, 0.815806
9.4, 0.823663
9.6, 0.830617
9.8, 0.836770
10.0, 0.841536
10.2, 0.844495
10.4, 0.847267
10.6, 0.850454
10.8, 0.853486
11.0, 0.857045
11.2, 0.861673
11.4, 0.866361
11.6, 0.871911
11.8, 0.877332
12.0, 0.882037
12.2, 0.887467
12.4, 0.891879
12.6, 0.895906
12.8, 0.899429
13.0, 0.902492
13.2, 0.905065
13.4, 0.907186
13.6, 0.909478
13.8, 0.911312
14.0, 0.913315
14.2, 0.914568
14.4, 0.916739
14.6, 0.918563
14.8, 0.920559
15.0, 0.922533
