# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 9.448307
2.0, 48.644641
2.2, 0.105986
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.001269
3.4, 0.104921
3.6, 1.540218
3.8, 4.880602
4.0, 8.375811
4.2, 17.444327
4.4, 16.815259
4.6, 6.702801
4.8, 2.983917
5.0, 2.201283
5.2, 2.388226
5.4, 2.628522
5.6, 2.894202
5.8, 3.278884
6.0, 3.787206
6.2, 4.047159
6.4, 4.054163
6.6, 4.365605
6.8, 4.312191
7.0, 3.294111
7.2, 2.155725
7.4, 1.715245
7.6, 1.662516
7.8, 1.789727
8.0, 1.913949
8.2, 2.066894
8.4, 2.162020
8.6, 2.228165
8.8, 2.304606
9.0, 2.417856
9.2, 2.515842
9.4, 2.511411
9.6, 2.428146
9.8, 2.362640
10.0, 2.362764
10.2, 2.401336
10.4, 2.400846
10.6, 2.350434
10.8, 2.316857
11.0, 2.366676
11.2, 2.251890
11.4, 2.039261
11.6, 1.984234
11.8, 1.995537
12.0, 1.991755
12.2, 1.991158
12.4, 1.994170
12.6, 2.006098
12.8, 1.944648
13.0, 1.835152
13.2, 1.774071
13.4, 1.773635
13.6, 1.796682
13.8, 1.821257
14.0, 1.804865
14.2, 1.792919
14.4, 1.773212
14.6, 1.755935
14.8, 1.756440
15.0, 1.763540
