# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000022
1.6, 0.210058
1.8, 1.310136
2.0, 0.879157
2.2, 0.349847
2.4, 0.181831
2.6, 0.425394
2.8, 0.896238
3.0, 0.817177
3.2, 0.769348
3.4, 0.632306
3.6, 0.577432
3.8, 0.592580
4.0, 0.641327
4.2, 0.703001
4.4, 0.692338
4.6, 0.660674
4.8, 0.657979
5.0, 0.687524
5.2, 0.719410
5.4, 0.707614
5.6, 0.678093
5.8, 0.654087
6.0, 0.655871
6.2, 0.670717
6.4, 0.689434
6.6, 0.708416
6.8, 0.728071
7.0, 0.744531
7.2, 0.756465
7.4, 0.767358
7.6, 0.778229
7.8, 0.785818
8.0, 0.787929
8.2, 0.787656
8.4, 0.790205
8.6, 0.793282
8.8, 0.796655
9.0, 0.801460
9.2, 0.807381
9.4, 0.814465
9.6, 0.821248
9.8, 0.827965
10.0, 0.833607
10.2, 0.838803
10.4, 0.843436
10.6, 0.847837
10.8, 0.852567
11.0, 0.857827
11.2, 0.863853
11.4, 0.870212
11.6, 0.876522
11.8, 0.882737
12.0, 0.888350
12.2, 0.893295
12.4, 0.898170
12.6, 0.902350
12.8, 0.906226
13.0, 0.909597
13.2, 0.912661
13.4, 0.915757
13.6, 0.918556
13.8, 0.921688
14.0, 0.924439
14.2, 0.927880
14.4, 0.930553
14.6, 0.933912
14.8, 0.937084
15.0, 0.940405
