# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.157628
1.8, 1.359045
2.0, 0.811129
2.2, 0.246171
2.4, 0.107474
2.6, 0.326329
2.8, 0.907095
3.0, 0.759776
3.2, 0.711547
3.4, 0.568765
3.6, 0.543706
3.8, 0.580825
4.0, 0.630911
4.2, 0.686170
4.4, 0.677336
4.6, 0.639331
4.8, 0.617766
5.0, 0.636854
5.2, 0.665511
5.4, 0.647150
5.6, 0.620751
5.8, 0.601751
6.0, 0.607919
6.2, 0.630485
6.4, 0.655052
6.6, 0.677981
6.8, 0.699998
7.0, 0.712553
7.2, 0.717465
7.4, 0.722858
7.6, 0.728657
7.8, 0.732530
8.0, 0.733843
8.2, 0.736586
8.4, 0.742301
8.6, 0.747324
8.8, 0.754523
9.0, 0.762128
9.2, 0.770010
9.4, 0.778244
9.6, 0.785199
9.8, 0.790739
10.0, 0.793613
10.2, 0.796067
10.4, 0.798140
10.6, 0.800925
10.8, 0.803511
11.0, 0.807272
11.2, 0.813044
11.4, 0.818616
11.6, 0.825272
11.8, 0.832096
12.0, 0.837357
12.2, 0.843500
12.4, 0.848327
12.6, 0.853393
12.8, 0.857519
13.0, 0.861146
13.2, 0.864472
13.4, 0.868067
13.6, 0.871560
13.8, 0.875232
14.0, 0.879204
14.2, 0.882852
14.4, 0.887415
14.6, 0.891614
14.8, 0.896070
15.0, 0.900926
