# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 13.585622
2.0, 54.641990
2.2, 0.444119
2.4, 0.000877
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.013528
3.4, 0.401220
3.6, 3.370156
3.8, 11.215015
4.0, 20.026877
4.2, 28.438395
4.4, 24.628570
4.6, 12.799944
4.8, 6.859769
5.0, 4.739368
5.2, 4.505151
5.4, 4.758018
5.6, 5.199447
5.8, 5.839460
6.0, 6.581280
6.2, 7.280762
6.4, 7.280114
6.6, 6.872011
6.8, 6.160516
7.0, 5.056283
7.2, 4.092943
7.4, 3.628428
7.6, 3.562096
7.8, 3.678308
8.0, 3.862353
8.2, 4.019573
8.4, 4.138864
8.6, 4.253217
8.8, 4.302853
9.0, 4.328479
9.2, 4.313676
9.4, 4.273360
9.6, 4.138507
9.8, 4.015766
10.0, 3.906146
10.2, 3.872227
10.4, 3.775936
10.6, 3.687304
10.8, 3.555256
11.0, 3.458044
11.2, 3.340549
11.4, 3.234007
11.6, 3.168718
11.8, 3.069016
12.0, 3.023072
12.2, 2.962285
12.4, 2.871955
12.6, 2.818541
12.8, 2.760849
13.0, 2.729020
13.2, 2.708171
13.4, 2.672787
13.6, 2.647215
13.8, 2.635299
14.0, 2.622608
14.2, 2.609314
14.4, 2.604863
14.6, 2.583780
14.8, 2.542410
15.0, 2.518383
