# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 9.733158
2.0, 48.431774
2.2, 0.097701
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.002116
3.4, 0.109039
3.6, 1.629659
3.8, 6.009290
4.0, 10.685153
4.2, 19.182054
4.4, 18.584817
4.6, 8.257950
4.8, 3.362734
5.0, 2.301087
5.2, 2.514322
5.4, 2.928920
5.6, 3.411587
5.8, 3.930661
6.0, 4.565858
6.2, 5.665421
6.4, 5.725061
6.6, 5.767807
6.8, 5.735521
7.0, 4.472199
7.2, 3.098364
7.4, 2.653245
7.6, 2.691303
7.8, 2.880082
8.0, 3.064003
8.2, 3.201985
8.4, 3.233758
8.6, 3.202395
8.8, 3.182341
9.0, 3.199503
9.2, 3.189749
9.4, 2.969993
9.6, 2.767163
9.8, 2.692277
10.0, 2.723841
10.2, 2.762781
10.4, 2.735134
10.6, 2.678532
10.8, 2.578450
11.0, 2.388288
11.2, 2.230700
11.4, 2.181969
11.6, 2.236533
11.8, 2.302852
12.0, 2.244683
12.2, 2.124890
12.4, 1.987360
12.6, 1.942186
12.8, 1.904649
13.0, 1.915225
13.2, 1.910240
13.4, 1.889119
13.6, 1.851885
13.8, 1.848339
14.0, 1.872967
14.2, 1.899536
14.4, 1.909454
14.6, 1.882643
14.8, 1.825684
15.0, 1.753403
