# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 0.000000
2.0, 0.000000
2.2, 0.000000
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.006353
3.4, 0.236613
3.6, 2.562093
3.8, 8.079923
4.0, 13.731883
4.2, 18.250071
4.4, 16.309238
4.6, 8.703539
4.8, 3.967685
5.0, 3.038987
5.2, 3.344116
5.4, 3.633528
5.6, 3.929569
5.8, 4.233868
6.0, 5.054096
6.2, 5.918412
6.4, 5.906549
6.6, 5.739209
6.8, 5.294137
7.0, 3.994112
7.2, 2.896246
7.4, 2.415774
7.6, 2.323909
7.8, 2.336958
8.0, 2.463221
8.2, 2.662691
8.4, 2.968976
8.6, 3.289081
8.8, 3.439668
9.0, 3.494698
9.2, 3.476864
9.4, 3.379684
9.6, 3.314229
9.8, 3.298066
10.0, 3.234792
10.2, 3.134777
10.4, 3.155156
10.6, 3.263867
10.8, 3.169386
11.0, 2.912814
11.2, 2.833450
11.4, 2.836816
11.6, 2.764066
11.8, 2.720825
12.0, 2.675024
12.2, 2.638498
12.4, 2.658168
12.6, 2.655199
12.8, 2.634359
13.0, 2.549198
13.2, 2.502136
13.4, 2.491374
13.6, 2.466094
13.8, 2.461545
14.0, 2.425677
14.2, 2.393768
14.4, 2.340919
14.6, 2.280874
14.8, 2.200163
15.0, 2.094727
