# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 0.000000
2.0, 0.000000
2.2, 0.000000
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000556
3.2, 0.023354
3.4, 0.619155
3.6, 4.960403
3.8, 14.150075
4.0, 20.996491
4.2, 24.577228
4.4, 21.552406
4.6, 12.904905
4.8, 6.599942
5.0, 4.544392
5.2, 4.194463
5.4, 4.574183
5.6, 5.154509
5.8, 5.959235
6.0, 7.147208
6.2, 8.315064
6.4, 8.030747
6.6, 7.230032
6.8, 6.550438
7.0, 5.269326
7.2, 4.079027
7.4, 3.553523
7.6, 3.363463
7.8, 3.420569
8.0, 3.573396
8.2, 3.730455
8.4, 3.932500
8.6, 4.055693
8.8, 4.142337
9.0, 4.239917
9.2, 4.268306
9.4, 4.189342
9.6, 4.089750
9.8, 3.986721
10.0, 3.882487
10.2, 3.722412
10.4, 3.624846
10.6, 3.542250
10.8, 3.417199
11.0, 3.349836
11.2, 3.292696
11.4, 3.217137
11.6, 3.167538
11.8, 3.125024
12.0, 3.060533
12.2, 2.977320
12.4, 2.893714
12.6, 2.808144
12.8, 2.739768
13.0, 2.681726
13.2, 2.645738
13.4, 2.622267
13.6, 2.590367
13.8, 2.563957
14.0, 2.553284
14.2, 2.528841
14.4, 2.504437
14.6, 2.465147
14.8, 2.437377
15.0, 2.398530
