# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000016
1.6, 0.204114
1.8, 1.331598
2.0, 0.907442
2.2, 0.365335
2.4, 0.188756
2.6, 0.427863
2.8, 0.917503
3.0, 0.832276
3.2, 0.783951
3.4, 0.645027
3.6, 0.588316
3.8, 0.604740
4.0, 0.659966
4.2, 0.727801
4.4, 0.716931
4.6, 0.685402
4.8, 0.685536
5.0, 0.715855
5.2, 0.746980
5.4, 0.730849
5.6, 0.697451
5.8, 0.672191
6.0, 0.670496
6.2, 0.683585
6.4, 0.698901
6.6, 0.715792
6.8, 0.731796
7.0, 0.746025
7.2, 0.755437
7.4, 0.763722
7.6, 0.772817
7.8, 0.777142
8.0, 0.779242
8.2, 0.780622
8.4, 0.783738
8.6, 0.788021
8.8, 0.791799
9.0, 0.797300
9.2, 0.804497
9.4, 0.812649
9.6, 0.820143
9.8, 0.827825
10.0, 0.832594
10.2, 0.838752
10.4, 0.842536
10.6, 0.845298
10.8, 0.849494
11.0, 0.853736
11.2, 0.857120
11.4, 0.862149
11.6, 0.867353
11.8, 0.872220
12.0, 0.877488
12.2, 0.882821
12.4, 0.887551
12.6, 0.892803
12.8, 0.897270
13.0, 0.901104
13.2, 0.904731
13.4, 0.908472
13.6, 0.910081
13.8, 0.913777
14.0, 0.917174
14.2, 0.919617
14.4, 0.922646
14.6, 0.925195
14.8, 0.928773
15.0, 0.931944
