# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000009
1.6, 0.209470
1.8, 1.328214
2.0, 0.894809
2.2, 0.357578
2.4, 0.185626
2.6, 0.429632
2.8, 0.906049
3.0, 0.823267
3.2, 0.776823
3.4, 0.637088
3.6, 0.577817
3.8, 0.593813
4.0, 0.647312
4.2, 0.714862
4.4, 0.704986
4.6, 0.671215
4.8, 0.670519
5.0, 0.702702
5.2, 0.734497
5.4, 0.717871
5.6, 0.684813
5.8, 0.658406
6.0, 0.656195
6.2, 0.669430
6.4, 0.684652
6.6, 0.700138
6.8, 0.716524
7.0, 0.730616
7.2, 0.741079
7.4, 0.749978
7.6, 0.758371
7.8, 0.764903
8.0, 0.766757
8.2, 0.769350
8.4, 0.772282
8.6, 0.776066
8.8, 0.780764
9.0, 0.787048
9.2, 0.795707
9.4, 0.804554
9.6, 0.812536
9.8, 0.820340
10.0, 0.827096
10.2, 0.832794
10.4, 0.837151
10.6, 0.840953
10.8, 0.845013
11.0, 0.848896
11.2, 0.853543
11.4, 0.858263
11.6, 0.862857
11.8, 0.868086
12.0, 0.873159
12.2, 0.878717
12.4, 0.884031
12.6, 0.889054
12.8, 0.893901
13.0, 0.898308
13.2, 0.902164
13.4, 0.905278
13.6, 0.909320
13.8, 0.912565
14.0, 0.915999
14.2, 0.919199
14.4, 0.922915
14.6, 0.926696
14.8, 0.930275
15.0, 0.934060
