# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000016
1.6, 0.211572
1.8, 1.302549
2.0, 0.863639
2.2, 0.343257
2.4, 0.177966
2.6, 0.424796
2.8, 0.886782
3.0, 0.802868
3.2, 0.760256
3.4, 0.627621
3.6, 0.572676
3.8, 0.586737
4.0, 0.634650
4.2, 0.694248
4.4, 0.683922
4.6, 0.652254
4.8, 0.649159
5.0, 0.679065
5.2, 0.710172
5.4, 0.698909
5.6, 0.668323
5.8, 0.643844
6.0, 0.643215
6.2, 0.657991
6.4, 0.673039
6.6, 0.690487
6.8, 0.709343
7.0, 0.725425
7.2, 0.737260
7.4, 0.748503
7.6, 0.758748
7.8, 0.765910
8.0, 0.768486
8.2, 0.769123
8.4, 0.771667
8.6, 0.774366
8.8, 0.778001
9.0, 0.783045
9.2, 0.790290
9.4, 0.797618
9.6, 0.805263
9.8, 0.812725
10.0, 0.819317
10.2, 0.825328
10.4, 0.830698
10.6, 0.835492
10.8, 0.840532
11.0, 0.846402
11.2, 0.853027
11.4, 0.859444
11.6, 0.866406
11.8, 0.873349
12.0, 0.879164
12.2, 0.884595
12.4, 0.889808
12.6, 0.893783
12.8, 0.898233
13.0, 0.901964
13.2, 0.905617
13.4, 0.909426
13.6, 0.912162
13.8, 0.916016
14.0, 0.919464
14.2, 0.923246
14.4, 0.926836
14.6, 0.930208
14.8, 0.934194
15.0, 0.937691
