# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000003
1.6, 0.174626
1.8, 1.468909
2.0, 0.859223
2.2, 0.255089
2.4, 0.108248
2.6, 0.338928
2.8, 0.874468
3.0, 0.742164
3.2, 0.715776
3.4, 0.560076
3.6, 0.519929
3.8, 0.554333
4.0, 0.615202
4.2, 0.692322
4.4, 0.674897
4.6, 0.626537
4.8, 0.613317
5.0, 0.640982
5.2, 0.675443
5.4, 0.653890
5.6, 0.620923
5.8, 0.597791
6.0, 0.604047
6.2, 0.627677
6.4, 0.653342
6.6, 0.676710
6.8, 0.698524
7.0, 0.712793
7.2, 0.720871
7.4, 0.728961
7.6, 0.736489
7.8, 0.741735
8.0, 0.743088
8.2, 0.743432
8.4, 0.747445
8.6, 0.753253
8.8, 0.758535
9.0, 0.765138
9.2, 0.772461
9.4, 0.780409
9.6, 0.787525
9.8, 0.794385
10.0, 0.800731
10.2, 0.806379
10.4, 0.812245
10.6, 0.817206
10.8, 0.822830
11.0, 0.828446
11.2, 0.835295
11.4, 0.843139
11.6, 0.850522
11.8, 0.857502
12.0, 0.863469
12.2, 0.868888
12.4, 0.873866
12.6, 0.877863
12.8, 0.881357
13.0, 0.884922
13.2, 0.888225
13.4, 0.891595
13.6, 0.895101
13.8, 0.899025
14.0, 0.902628
14.2, 0.905693
14.4, 0.909262
14.6, 0.912284
14.8, 0.915652
15.0, 0.918510
