# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 0.000000
2.0, 0.000000
2.2, 0.000000
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.001271
3.4, 0.121101
3.6, 1.942204
3.8, 7.591125
4.0, 13.206899
4.2, 17.274086
4.4, 16.324172
4.6, 9.143798
4.8, 4.012007
5.0, 2.941959
5.2, 3.132112
5.4, 3.643710
5.6, 3.994971
5.8, 4.170920
6.0, 4.483354
6.2, 5.490416
6.4, 5.450288
6.6, 4.882155
6.8, 4.702528
7.0, 3.965187
7.2, 2.724581
7.4, 2.137893
7.6, 2.048922
7.8, 2.173020
8.0, 2.317769
8.2, 2.529895
8.4, 2.650279
8.6, 2.670448
8.8, 2.697978
9.0, 2.892350
9.2, 3.079409
9.4, 3.133675
9.6, 2.983906
9.8, 2.814316
10.0, 2.675629
10.2, 2.573869
10.4, 2.537365
10.6, 2.500382
10.8, 2.461520
11.0, 2.378223
11.2, 2.331628
11.4, 2.319112
11.6, 2.275325
11.8, 2.221700
12.0, 2.174015
12.2, 2.141147
12.4, 2.067616
12.6, 1.995964
12.8, 1.926704
13.0, 1.884992
13.2, 1.885766
13.4, 1.919982
13.6, 1.949169
13.8, 1.947298
14.0, 1.940912
14.2, 1.906066
14.4, 1.880879
14.6, 1.836536
14.8, 1.808458
15.0, 1.792091
