# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 0.000000
2.0, 0.000000
2.2, 0.000000
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.000865
3.4, 0.094999
3.6, 1.530359
3.8, 6.069238
4.0, 10.789921
4.2, 15.382167
4.4, 13.666577
4.6, 6.512502
4.8, 2.590871
5.0, 1.961595
5.2, 2.474765
5.4, 3.498698
5.6, 4.338691
5.8, 4.594441
6.0, 4.854006
6.2, 5.201104
6.4, 5.255485
6.6, 4.945136
6.8, 4.485567
7.0, 3.461456
7.2, 2.720737
7.4, 2.442616
7.6, 2.456677
7.8, 2.643475
8.0, 2.978317
8.2, 3.304068
8.4, 3.610666
8.6, 3.787017
8.8, 3.777707
9.0, 3.704696
9.2, 3.536271
9.4, 3.355303
9.6, 3.176010
9.8, 2.966537
10.0, 2.843991
10.2, 2.744983
10.4, 2.699512
10.6, 2.630263
10.8, 2.620774
11.0, 2.576833
11.2, 2.535139
11.4, 2.474219
11.6, 2.441735
11.8, 2.434841
12.0, 2.410299
12.2, 2.358615
12.4, 2.323193
12.6, 2.274157
12.8, 2.229610
13.0, 2.188034
13.2, 2.149779
13.4, 2.139296
13.6, 2.123720
13.8, 2.117214
14.0, 2.105017
14.2, 2.097170
14.4, 2.092654
14.6, 2.085928
14.8, 2.061962
15.0, 2.034628
