# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 9.205670
2.0, 48.864265
2.2, 0.085597
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.000485
3.4, 0.063364
3.6, 0.839259
3.8, 3.865021
4.0, 9.555210
4.2, 19.440194
4.4, 19.313660
4.6, 8.240591
4.8, 3.755824
5.0, 2.730121
5.2, 2.971482
5.4, 3.501019
5.6, 4.004431
5.8, 4.548085
6.0, 5.049196
6.2, 5.732061
6.4, 6.200749
6.6, 6.494394
6.8, 6.059918
7.0, 4.676814
7.2, 3.721280
7.4, 3.254406
7.6, 3.109941
7.8, 3.082085
8.0, 3.153085
8.2, 3.265645
8.4, 3.373236
8.6, 3.449389
8.8, 3.458431
9.0, 3.477847
9.2, 3.440083
9.4, 3.317984
9.6, 3.079609
9.8, 2.945106
10.0, 2.914205
10.2, 2.951675
10.4, 2.972635
10.6, 2.978451
10.8, 2.911941
11.0, 2.852932
11.2, 2.726828
11.4, 2.593687
11.6, 2.490258
11.8, 2.461349
12.0, 2.434476
12.2, 2.386868
12.4, 2.355595
12.6, 2.307534
12.8, 2.250783
13.0, 2.201937
13.2, 2.126112
13.4, 2.118651
13.6, 2.096057
13.8, 2.073746
14.0, 2.079046
14.2, 2.054523
14.4, 2.036821
14.6, 1.996327
14.8, 1.964217
15.0, 1.934739
