# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.172997
1.8, 1.441625
2.0, 0.846255
2.2, 0.254050
2.4, 0.110089
2.6, 0.338147
2.8, 0.867066
3.0, 0.741350
3.2, 0.713990
3.4, 0.558877
3.6, 0.519650
3.8, 0.554938
4.0, 0.612316
4.2, 0.680871
4.4, 0.661761
4.6, 0.613945
4.8, 0.601706
5.0, 0.626218
5.2, 0.657557
5.4, 0.638794
5.6, 0.609956
5.8, 0.587970
6.0, 0.592409
6.2, 0.614531
6.4, 0.638259
6.6, 0.661401
6.8, 0.682600
7.0, 0.696600
7.2, 0.705008
7.4, 0.712612
7.6, 0.720434
7.8, 0.724099
8.0, 0.724147
8.2, 0.724079
8.4, 0.727298
8.6, 0.731635
8.8, 0.736165
9.0, 0.742267
9.2, 0.748913
9.4, 0.756757
9.6, 0.764532
9.8, 0.771939
10.0, 0.778506
10.2, 0.783843
10.4, 0.789390
10.6, 0.793349
10.8, 0.797718
11.0, 0.802793
11.2, 0.808742
11.4, 0.814824
11.6, 0.820870
11.8, 0.826833
12.0, 0.831766
12.2, 0.836020
12.4, 0.840272
12.6, 0.844121
12.8, 0.847143
13.0, 0.849677
13.2, 0.852436
13.4, 0.855022
13.6, 0.858108
13.8, 0.861425
14.0, 0.864935
14.2, 0.868687
14.4, 0.872289
14.6, 0.876030
14.8, 0.880282
15.0, 0.884561
