# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000031
1.6, 0.209751
1.8, 1.331768
2.0, 0.900995
2.2, 0.356853
2.4, 0.184255
2.6, 0.430216
2.8, 0.910459
3.0, 0.825783
3.2, 0.781985
3.4, 0.641006
3.6, 0.584357
3.8, 0.601812
4.0, 0.654481
4.2, 0.723552
4.4, 0.715156
4.6, 0.682208
4.8, 0.678932
5.0, 0.711384
5.2, 0.744655
5.4, 0.726903
5.6, 0.693292
5.8, 0.668502
6.0, 0.666532
6.2, 0.680976
6.4, 0.696675
6.6, 0.711293
6.8, 0.728641
7.0, 0.742720
7.2, 0.751162
7.4, 0.759840
7.6, 0.767257
7.8, 0.773303
8.0, 0.774326
8.2, 0.776328
8.4, 0.779372
8.6, 0.783059
8.8, 0.786001
9.0, 0.792601
9.2, 0.799478
9.4, 0.808605
9.6, 0.815505
9.8, 0.822205
10.0, 0.829955
10.2, 0.835057
10.4, 0.840523
10.6, 0.843196
10.8, 0.848097
11.0, 0.852636
11.2, 0.857328
11.4, 0.861908
11.6, 0.867889
11.8, 0.873001
12.0, 0.879548
12.2, 0.885209
12.4, 0.890866
12.6, 0.896572
12.8, 0.901913
13.0, 0.906674
13.2, 0.909180
13.4, 0.912259
13.6, 0.915147
13.8, 0.919672
14.0, 0.921987
14.2, 0.925663
14.4, 0.928312
14.6, 0.933064
14.8, 0.935336
15.0, 0.939568
