# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000013
1.6, 0.185808
1.8, 1.190532
2.0, 0.810971
2.2, 0.324976
2.4, 0.169925
2.6, 0.400706
2.8, 0.906876
3.0, 0.809752
3.2, 0.743145
3.4, 0.616741
3.6, 0.579533
3.8, 0.593920
4.0, 0.631745
4.2, 0.678953
4.4, 0.678921
4.6, 0.656915
4.8, 0.644839
5.0, 0.666736
5.2, 0.697269
5.4, 0.687942
5.6, 0.663203
5.8, 0.644117
6.0, 0.645892
6.2, 0.662761
6.4, 0.679833
6.6, 0.698313
6.8, 0.718122
7.0, 0.732843
7.2, 0.742684
7.4, 0.752121
7.6, 0.761427
7.8, 0.768304
8.0, 0.770821
8.2, 0.772335
8.4, 0.775596
8.6, 0.780143
8.8, 0.786186
9.0, 0.792945
9.2, 0.801832
9.4, 0.811365
9.6, 0.820178
9.8, 0.828260
10.0, 0.834464
10.2, 0.840042
10.4, 0.843806
10.6, 0.847130
10.8, 0.851096
11.0, 0.855204
11.2, 0.860624
11.4, 0.866435
11.6, 0.872997
11.8, 0.879455
12.0, 0.885610
12.2, 0.891577
12.4, 0.896909
12.6, 0.901745
12.8, 0.905779
13.0, 0.909407
13.2, 0.912762
13.4, 0.915733
13.6, 0.918786
13.8, 0.921769
14.0, 0.924951
14.2, 0.927736
14.4, 0.930604
14.6, 0.933526
14.8, 0.936999
15.0, 0.940085
