# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 13.208535
2.0, 53.063532
2.2, 0.397565
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.026968
3.4, 0.507434
3.6, 3.901719
3.8, 11.698781
4.0, 19.076993
4.2, 26.327416
4.4, 22.532865
4.6, 10.897584
4.8, 5.624784
5.0, 3.917484
5.2, 3.776998
5.4, 4.157011
5.6, 4.599171
5.8, 5.200375
6.0, 6.135888
6.2, 6.935573
6.4, 6.899961
6.6, 6.564088
6.8, 5.905836
7.0, 4.880929
7.2, 3.921563
7.4, 3.511231
7.6, 3.484321
7.8, 3.632513
8.0, 3.697707
8.2, 3.762697
8.4, 3.826142
8.6, 3.901817
8.8, 3.966081
9.0, 3.976393
9.2, 3.940552
9.4, 3.939785
9.6, 3.818175
9.8, 3.751260
10.0, 3.708592
10.2, 3.665466
10.4, 3.595762
10.6, 3.487845
10.8, 3.406110
11.0, 3.353493
11.2, 3.318015
11.4, 3.226912
11.6, 3.229556
11.8, 3.216507
12.0, 3.179586
12.2, 3.078035
12.4, 2.987810
12.6, 2.856435
12.8, 2.778459
13.0, 2.700597
13.2, 2.657694
13.4, 2.618617
13.6, 2.610037
13.8, 2.583054
14.0, 2.565732
14.2, 2.532374
14.4, 2.519266
14.6, 2.472466
14.8, 2.428870
15.0, 2.407686
