# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 0.000000
2.0, 0.000000
2.2, 0.000000
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.004393
3.4, 0.157019
3.6, 1.656485
3.8, 5.974798
4.0, 10.361757
4.2, 14.940089
4.4, 13.744109
4.6, 7.029848
4.8, 2.788831
5.0, 1.927420
5.2, 2.108324
5.4, 2.557467
5.6, 3.109585
5.8, 3.807391
6.0, 4.746668
6.2, 5.684397
6.4, 5.826660
6.6, 5.480737
6.8, 4.775268
7.0, 3.577230
7.2, 2.576489
7.4, 2.191983
7.6, 2.214110
7.8, 2.294831
8.0, 2.503632
8.2, 2.672662
8.4, 2.820299
8.6, 2.939731
8.8, 3.007106
9.0, 3.010236
9.2, 2.942258
9.4, 2.853111
9.6, 2.812162
9.8, 2.794078
10.0, 2.760667
10.2, 2.777779
10.4, 2.766135
10.6, 2.791546
10.8, 2.749843
11.0, 2.716189
11.2, 2.656486
11.4, 2.588290
11.6, 2.583992
11.8, 2.527012
12.0, 2.504222
12.2, 2.463286
12.4, 2.397678
12.6, 2.329163
12.8, 2.267694
13.0, 2.221679
13.2, 2.191029
13.4, 2.173930
13.6, 2.171079
13.8, 2.170415
14.0, 2.171644
14.2, 2.163859
14.4, 2.171765
14.6, 2.157826
14.8, 2.109321
15.0, 2.085814
