# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000006
1.6, 0.156393
1.8, 1.351126
2.0, 0.809832
2.2, 0.246939
2.4, 0.106755
2.6, 0.322985
2.8, 0.897619
3.0, 0.745378
3.2, 0.701972
3.4, 0.563251
3.6, 0.538501
3.8, 0.572065
4.0, 0.624736
4.2, 0.692955
4.4, 0.688258
4.6, 0.650466
4.8, 0.625613
5.0, 0.645142
5.2, 0.677317
5.4, 0.659624
5.6, 0.630127
5.8, 0.610438
6.0, 0.618488
6.2, 0.643380
6.4, 0.669168
6.6, 0.693759
6.8, 0.717774
7.0, 0.731201
7.2, 0.737032
7.4, 0.743419
7.6, 0.748033
7.8, 0.749827
8.0, 0.748646
8.2, 0.749923
8.4, 0.754285
8.6, 0.761125
8.8, 0.768383
9.0, 0.776591
9.2, 0.786331
9.4, 0.796542
9.6, 0.805476
9.8, 0.813526
10.0, 0.819826
10.2, 0.824273
10.4, 0.827686
10.6, 0.831078
10.8, 0.834530
11.0, 0.839890
11.2, 0.846816
11.4, 0.853836
11.6, 0.861758
11.8, 0.869600
12.0, 0.876823
12.2, 0.883846
12.4, 0.889238
12.6, 0.893024
12.8, 0.895823
13.0, 0.898058
13.2, 0.899996
13.4, 0.902054
13.6, 0.904308
13.8, 0.906529
14.0, 0.909191
14.2, 0.911887
14.4, 0.914279
14.6, 0.917852
14.8, 0.920413
15.0, 0.923513
