# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 7.159821
2.0, 26.407077
2.2, 0.158685
2.4, 0.000882
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.017484
3.4, 0.525890
3.6, 4.097957
3.8, 12.404426
4.0, 20.099950
4.2, 25.836386
4.4, 22.814233
4.6, 12.910223
4.8, 6.529084
5.0, 4.229781
5.2, 3.811968
5.4, 4.095948
5.6, 4.606465
5.8, 5.320579
6.0, 6.550536
6.2, 7.741515
6.4, 7.839480
6.6, 7.619206
6.8, 7.142135
7.0, 5.672944
7.2, 4.258748
7.4, 3.625086
7.6, 3.443135
7.8, 3.407079
8.0, 3.511747
8.2, 3.583692
8.4, 3.700619
8.6, 3.862604
8.8, 4.096687
9.0, 4.307304
9.2, 4.365643
9.4, 4.326562
9.6, 4.161007
9.8, 4.061405
10.0, 3.980475
10.2, 3.836526
10.4, 3.651272
10.6, 3.506941
10.8, 3.406552
11.0, 3.301554
11.2, 3.307752
11.4, 3.283732
11.6, 3.190739
11.8, 3.115570
12.0, 3.011925
12.2, 2.876160
12.4, 2.789406
12.6, 2.735582
12.8, 2.666717
13.0, 2.638510
13.2, 2.600322
13.4, 2.599248
13.6, 2.568251
13.8, 2.551748
14.0, 2.523187
14.2, 2.502700
14.4, 2.482752
14.6, 2.435143
14.8, 2.399321
15.0, 2.396666
