# Op-H2O distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000014
1.6, 0.173612
1.8, 1.497287
2.0, 0.883677
2.2, 0.263522
2.4, 0.109084
2.6, 0.337521
2.8, 0.885672
3.0, 0.749744
3.2, 0.728218
3.4, 0.570160
3.6, 0.528346
3.8, 0.571221
4.0, 0.643275
4.2, 0.729964
4.4, 0.712658
4.6, 0.663471
4.8, 0.647889
5.0, 0.677474
5.2, 0.709072
5.4, 0.682543
5.6, 0.649276
5.8, 0.625259
6.0, 0.632259
6.2, 0.655745
6.4, 0.682802
6.6, 0.705911
6.8, 0.726176
7.0, 0.736999
7.2, 0.742318
7.4, 0.744372
7.6, 0.747600
7.8, 0.749875
8.0, 0.750090
8.2, 0.750469
8.4, 0.755737
8.6, 0.759175
8.8, 0.765790
9.0, 0.773417
9.2, 0.781030
9.4, 0.790020
9.6, 0.795782
9.8, 0.802091
10.0, 0.806020
10.2, 0.810381
10.4, 0.812697
10.6, 0.815998
10.8, 0.818989
11.0, 0.823760
11.2, 0.827587
11.4, 0.832688
11.6, 0.837844
11.8, 0.843497
12.0, 0.849140
12.2, 0.855197
12.4, 0.859575
12.6, 0.864456
12.8, 0.869038
13.0, 0.872850
13.2, 0.876456
13.4, 0.879194
13.6, 0.881738
13.8, 0.884726
14.0, 0.887692
14.2, 0.890120
14.4, 0.893259
14.6, 0.896421
14.8, 0.899169
15.0, 0.903209
