# Op-Mg2+ distance r (Å), g(r)
0.2, 0.000000
0.4, 0.000000
0.6, 0.000000
0.8, 0.000000
1.0, 0.000000
1.2, 0.000000
1.4, 0.000000
1.6, 0.000000
1.8, 0.000000
2.0, 0.000000
2.2, 0.000000
2.4, 0.000000
2.6, 0.000000
2.8, 0.000000
3.0, 0.000000
3.2, 0.002153
3.4, 0.131124
3.6, 1.807682
3.8, 6.245086
4.0, 11.073520
4.2, 15.985037
4.4, 13.981045
4.6, 7.185404
4.8, 2.886841
5.0, 2.138783
5.2, 2.479670
5.4, 3.049893
5.6, 3.578663
5.8, 4.298420
6.0, 5.323722
6.2, 6.080702
6.4, 6.125828
6.6, 5.738026
6.8, 5.162659
7.0, 3.913403
7.2, 2.914627
7.4, 2.583488
7.6, 2.631546
7.8, 2.787799
8.0, 3.098193
8.2, 3.260069
8.4, 3.471443
8.6, 3.522884
8.8, 3.570631
9.0, 3.560138
9.2, 3.437871
9.4, 3.242058
9.6, 3.088873
9.8, 3.042016
10.0, 2.971886
10.2, 2.958240
10.4, 2.968768
10.6, 2.990061
10.8, 3.001014
11.0, 3.018216
11.2, 2.968734
11.4, 2.948716
11.6, 2.839847
11.8, 2.793644
12.0, 2.713249
12.2, 2.668270
12.4, 2.607517
12.6, 2.520109
12.8, 2.449961
13.0, 2.382918
13.2, 2.339785
13.4, 2.276031
13.6, 2.307571
13.8, 2.303777
14.0, 2.260673
14.2, 2.250516
14.4, 2.192865
14.6, 2.195212
14.8, 2.181102
15.0, 2.126859
