rCAGx6 at 293K, means = [6.24, 5.59, 7.42]Å, avrerage: 6.42Å, s.e.m: 0.53Å
rCAGx6 at 368K, means = [6.07, 4.83, 5.51]Å, avrerage: 5.47Å, s.e.m: 0.36Å
dCAGx6 at 293K, means = [5.76, 4.77, 6.38]Å, avrerage: 5.64Å, s.e.m: 0.47Å
dCAGx6 at 368K, means = [4.76, 4.68, 4.65]Å, avrerage: 4.69Å, s.e.m: 0.03Å
mCAGx6 at 293K, means = [6.24, 5.67, 5.54]Å, avrerage: 5.81Å, s.e.m: 0.21Å
mCAGx6 at 368K, means = [5.70, 6.09, 5.07]Å, avrerage: 5.62Å, s.e.m: 0.30Å
rCUGx6 at 293K, means = [6.14, 5.35, 5.94]Å, avrerage: 5.81Å, s.e.m: 0.24Å
rCUGx6 at 368K, means = [5.70, 5.86, 5.87]Å, avrerage: 5.81Å, s.e.m: 0.06Å
