# distance (Å), g(r), err
0.2, 0.000, 0.000
0.4, 0.000, 0.000
0.6, 0.000, 0.000
0.8, 0.000, 0.000
1.0, 0.000, 0.000
1.2, 0.000, 0.000
1.4, 0.000, 0.000
1.6, 0.174, 0.002
1.8, 1.468, 0.005
2.0, 0.861, 0.005
2.2, 0.255, 0.003
2.4, 0.107, 0.001
2.6, 0.337, 0.001
2.8, 0.898, 0.001
3.0, 0.754, 0.003
3.2, 0.732, 0.001
3.4, 0.576, 0.002
3.6, 0.538, 0.003
3.8, 0.575, 0.004
4.0, 0.640, 0.004
4.2, 0.722, 0.005
4.4, 0.708, 0.006
4.6, 0.660, 0.007
4.8, 0.642, 0.007
5.0, 0.669, 0.007
5.2, 0.702, 0.006
5.4, 0.677, 0.006
5.6, 0.641, 0.007
5.8, 0.616, 0.007
6.0, 0.622, 0.007
6.2, 0.645, 0.008
6.4, 0.667, 0.008
6.6, 0.688, 0.009
6.8, 0.706, 0.010
7.0, 0.715, 0.010
7.2, 0.719, 0.010
7.4, 0.721, 0.010
7.6, 0.724, 0.010
7.8, 0.725, 0.009
8.0, 0.725, 0.009
8.2, 0.725, 0.009
8.4, 0.728, 0.009
8.6, 0.732, 0.008
8.8, 0.736, 0.008
9.0, 0.742, 0.008
9.2, 0.749, 0.008
9.4, 0.756, 0.008
9.6, 0.762, 0.008
9.8, 0.767, 0.008
10.0, 0.771, 0.008
10.2, 0.775, 0.008
10.4, 0.778, 0.008
10.6, 0.781, 0.008
10.8, 0.784, 0.007
11.0, 0.788, 0.007
11.2, 0.793, 0.007
11.4, 0.798, 0.007
11.6, 0.803, 0.007
11.8, 0.808, 0.007
12.0, 0.813, 0.006
12.2, 0.818, 0.006
12.4, 0.824, 0.006
12.6, 0.828, 0.006
12.8, 0.832, 0.006
13.0, 0.836, 0.005
13.2, 0.839, 0.005
13.4, 0.842, 0.005
13.6, 0.844, 0.005
13.8, 0.847, 0.005
14.0, 0.850, 0.005
14.2, 0.852, 0.004
14.4, 0.855, 0.004
14.6, 0.858, 0.004
14.8, 0.861, 0.004
15.0, 0.864, 0.004
