# distance (Å), g(r), err
0.2, 0.000, 0.000
0.4, 0.000, 0.000
0.6, 0.000, 0.000
0.8, 0.000, 0.000
1.0, 0.000, 0.000
1.2, 0.000, 0.000
1.4, 0.000, 0.000
1.6, 0.000, 0.000
1.8, 13.682, 0.665
2.0, 67.063, 4.364
2.2, 0.125, 0.011
2.4, 0.000, 0.000
2.6, 0.000, 0.000
2.8, 0.000, 0.000
3.0, 0.000, 0.000
3.2, 0.002, 0.000
3.4, 0.078, 0.004
3.6, 1.269, 0.100
3.8, 5.687, 0.377
4.0, 13.725, 0.250
4.2, 25.658, 0.466
4.4, 20.592, 0.309
4.6, 8.411, 0.426
4.8, 3.625, 0.309
5.0, 2.667, 0.289
5.2, 2.894, 0.329
5.4, 3.351, 0.402
5.6, 3.855, 0.436
5.8, 4.418, 0.408
6.0, 5.338, 0.308
6.2, 6.342, 0.152
6.4, 6.422, 0.039
6.6, 5.845, 0.057
6.8, 5.111, 0.224
7.0, 4.049, 0.269
7.2, 3.117, 0.213
7.4, 2.782, 0.219
7.6, 2.855, 0.232
7.8, 3.132, 0.252
8.0, 3.493, 0.243
8.2, 3.795, 0.222
8.4, 4.013, 0.154
8.6, 4.120, 0.076
8.8, 4.130, 0.102
9.0, 4.150, 0.176
9.2, 4.152, 0.224
9.4, 4.108, 0.212
9.6, 3.992, 0.184
9.8, 3.884, 0.220
10.0, 3.801, 0.254
10.2, 3.692, 0.246
10.4, 3.515, 0.213
10.6, 3.418, 0.203
10.8, 3.336, 0.189
11.0, 3.261, 0.153
11.2, 3.165, 0.125
11.4, 3.044, 0.096
11.6, 2.965, 0.083
11.8, 2.943, 0.097
12.0, 2.928, 0.122
12.2, 2.889, 0.117
12.4, 2.851, 0.120
12.6, 2.816, 0.107
12.8, 2.782, 0.098
13.0, 2.770, 0.088
13.2, 2.765, 0.087
13.4, 2.782, 0.092
13.6, 2.799, 0.094
13.8, 2.803, 0.092
14.0, 2.784, 0.084
14.2, 2.762, 0.076
14.4, 2.740, 0.077
14.6, 2.717, 0.072
14.8, 2.685, 0.059
15.0, 2.657, 0.051
