# distance (Å), g(r), err
0.2, 0.000, 0.000
0.4, 0.000, 0.000
0.6, 0.000, 0.000
0.8, 0.000, 0.000
1.0, 0.000, 0.000
1.2, 0.000, 0.000
1.4, 0.000, 0.000
1.6, 0.155, 0.001
1.8, 1.335, 0.016
2.0, 0.792, 0.011
2.2, 0.236, 0.004
2.4, 0.101, 0.001
2.6, 0.323, 0.002
2.8, 0.935, 0.005
3.0, 0.757, 0.005
3.2, 0.701, 0.006
3.4, 0.561, 0.006
3.6, 0.542, 0.004
3.8, 0.575, 0.003
4.0, 0.618, 0.003
4.2, 0.675, 0.006
4.4, 0.670, 0.006
4.6, 0.637, 0.004
4.8, 0.613, 0.004
5.0, 0.635, 0.004
5.2, 0.667, 0.005
5.4, 0.649, 0.005
5.6, 0.621, 0.005
5.8, 0.603, 0.005
6.0, 0.611, 0.004
6.2, 0.632, 0.004
6.4, 0.652, 0.005
6.6, 0.675, 0.006
6.8, 0.697, 0.006
7.0, 0.710, 0.006
7.2, 0.716, 0.006
7.4, 0.724, 0.005
7.6, 0.732, 0.004
7.8, 0.737, 0.004
8.0, 0.739, 0.003
8.2, 0.741, 0.002
8.4, 0.745, 0.002
8.6, 0.749, 0.001
8.8, 0.755, 0.001
9.0, 0.761, 0.000
9.2, 0.769, 0.000
9.4, 0.776, 0.000
9.6, 0.784, 0.001
9.8, 0.791, 0.001
10.0, 0.796, 0.001
10.2, 0.799, 0.002
10.4, 0.802, 0.002
10.6, 0.804, 0.002
10.8, 0.806, 0.002
11.0, 0.809, 0.002
11.2, 0.813, 0.002
11.4, 0.817, 0.002
11.6, 0.823, 0.002
11.8, 0.828, 0.003
12.0, 0.833, 0.003
12.2, 0.838, 0.003
12.4, 0.842, 0.003
12.6, 0.846, 0.003
12.8, 0.849, 0.003
13.0, 0.851, 0.003
13.2, 0.853, 0.003
13.4, 0.855, 0.003
13.6, 0.857, 0.003
13.8, 0.859, 0.003
14.0, 0.861, 0.003
14.2, 0.863, 0.003
14.4, 0.866, 0.003
14.6, 0.869, 0.003
14.8, 0.871, 0.003
15.0, 0.874, 0.003
