# distance (Å), g(r), err
0.2, 0.000, 0.000
0.4, 0.000, 0.000
0.6, 0.000, 0.000
0.8, 0.000, 0.000
1.0, 0.000, 0.000
1.2, 0.000, 0.000
1.4, 0.000, 0.000
1.6, 0.000, 0.000
1.8, 4.892, 0.592
2.0, 21.381, 4.184
2.2, 0.199, 0.089
2.4, 0.000, 0.000
2.6, 0.000, 0.000
2.8, 0.000, 0.000
3.0, 0.000, 0.000
3.2, 0.026, 0.001
3.4, 0.623, 0.020
3.6, 4.886, 0.067
3.8, 13.794, 0.120
4.0, 20.600, 0.259
4.2, 25.740, 0.619
4.4, 22.152, 0.443
4.6, 11.864, 0.071
4.8, 5.753, 0.072
5.0, 3.897, 0.107
5.2, 3.820, 0.103
5.4, 4.313, 0.090
5.6, 5.035, 0.034
5.8, 5.998, 0.057
6.0, 7.508, 0.068
6.2, 8.896, 0.033
6.4, 8.653, 0.028
6.6, 7.668, 0.062
6.8, 6.666, 0.076
7.0, 5.175, 0.037
7.2, 3.918, 0.032
7.4, 3.326, 0.040
7.6, 3.254, 0.059
7.8, 3.441, 0.085
8.0, 3.734, 0.114
8.2, 4.075, 0.146
8.4, 4.384, 0.164
8.6, 4.616, 0.162
8.8, 4.772, 0.164
9.0, 4.804, 0.147
9.2, 4.770, 0.137
9.4, 4.740, 0.136
9.6, 4.733, 0.156
9.8, 4.756, 0.169
10.0, 4.685, 0.156
10.2, 4.574, 0.127
10.4, 4.452, 0.122
10.6, 4.340, 0.108
10.8, 4.240, 0.111
11.0, 4.171, 0.119
11.2, 4.097, 0.118
11.4, 4.034, 0.112
11.6, 3.984, 0.115
11.8, 3.926, 0.120
12.0, 3.847, 0.115
12.2, 3.759, 0.116
12.4, 3.668, 0.120
12.6, 3.588, 0.126
12.8, 3.500, 0.135
13.0, 3.435, 0.133
13.2, 3.377, 0.133
13.4, 3.338, 0.126
13.6, 3.311, 0.124
13.8, 3.292, 0.119
14.0, 3.290, 0.119
14.2, 3.281, 0.116
14.4, 3.270, 0.114
14.6, 3.265, 0.115
14.8, 3.248, 0.110
15.0, 3.222, 0.104
