# Op-Ca2+ distance r (Å), g(r)
0.2,	0.000000
0.4,	0.000000
0.6,	0.000000
0.8,	0.000000
1.0,	0.000000
1.2,	0.000000
1.4,	0.000000
1.6,	0.000000
1.8,	0.000000
2.0,	0.000000
2.2,	0.000000
2.4,	0.000000
2.6,	0.000000
2.8,	0.000000
3.0,	0.000000
3.2,	0.076466
3.4,	13.938930
3.6,	376.593966
3.8,	147.857995
4.0,	0.930722
4.2,	0.008848
4.4,	0.001893
4.6,	0.006049
4.8,	0.049116
5.0,	0.211369
5.2,	0.496206
5.4,	0.987153
5.6,	1.659211
5.8,	2.239680
6.0,	2.639928
6.2,	2.611239
6.4,	2.794889
6.6,	3.860770
6.8,	5.585786
7.0,	6.849542
7.2,	7.713046
7.4,	8.565389
7.6,	10.157124
7.8,	12.223634
8.0,	15.101924
8.2,	18.329558
8.4,	17.784869
8.6,	12.369030
8.8,	7.762860
9.0,	5.491976
9.2,	4.400238
9.4,	4.131474
9.6,	3.752922
9.8,	2.916362
10.0,	2.171689
10.2,	1.860322
10.4,	1.948225
10.6,	2.250548
10.8,	2.615718
11.0,	3.007690
11.2,	3.389004
11.4,	3.596251
11.6,	3.696834
11.8,	3.794891
12.0,	3.972320
12.2,	4.264906
12.4,	4.695468
12.6,	5.233055
12.8,	5.778610
13.0,	6.146252
13.2,	6.045431
13.4,	5.507305
13.6,	4.782200
13.8,	4.200520
14.0,	3.788738
14.2,	3.460967
14.4,	3.120651
14.6,	2.904923
14.8,	2.811149
15.0,	2.754322
