# Op-water distance r (Å), g(r)
0.2,	0.000000
0.4,	0.000000
0.6,	0.000000
0.8,	0.000000
1.0,	0.000000
1.2,	0.000000
1.4,	0.000000
1.6,	0.000000
1.8,	0.000000
2.0,	0.000000
2.2,	0.000000
2.4,	0.000000
2.6,	0.000000
2.8,	0.000000
3.0,	0.000000
3.2,	0.046552
3.4,	12.680184
3.6,	318.588953
3.8,	125.202952
4.0,	0.604373
4.2,	0.001936
4.4,	0.000880
4.6,	0.030935
4.8,	0.166467
5.0,	0.655322
5.2,	1.759765
5.4,	3.101677
5.6,	3.563907
5.8,	3.125654
6.0,	3.057124
6.2,	3.277585
6.4,	3.430308
6.6,	3.994107
6.8,	4.793964
7.0,	5.480344
7.2,	5.922116
7.4,	7.061842
7.6,	8.598842
7.8,	10.541912
8.0,	11.728757
8.2,	11.806059
8.4,	10.191527
8.6,	7.332422
8.8,	5.449523
9.0,	4.741324
9.2,	4.252438
9.4,	4.052320
9.6,	3.622501
9.8,	2.956245
10.0,	2.449493
10.2,	2.031210
10.4,	1.703303
10.6,	1.715419
10.8,	1.909440
11.0,	2.263036
11.2,	2.616554
11.4,	2.844698
11.6,	3.062540
11.8,	3.315486
12.0,	3.537717
12.2,	3.672152
12.4,	3.900326
12.6,	4.175613
12.8,	4.437814
13.0,	4.661779
13.2,	4.698892
13.4,	4.413330
13.6,	3.857173
13.8,	3.421501
14.0,	3.130032
14.2,	2.963576
14.4,	2.902308
14.6,	2.930461
14.8,	2.923710
15.0,	2.820277
