# Op-Ca2+ distance r (Å), g(r)
0.2,	0.000000
0.4,	0.000000
0.6,	0.000000
0.8,	0.000000
1.0,	0.000000
1.2,	0.000000
1.4,	0.000000
1.6,	0.000000
1.8,	0.000000
2.0,	0.000000
2.2,	0.000000
2.4,	0.000000
2.6,	0.000000
2.8,	0.000000
3.0,	0.000000
3.2,	0.053003
3.4,	14.232034
3.6,	379.158162
3.8,	152.774567
4.0,	1.286249
4.2,	0.023394
4.4,	0.019335
4.6,	0.074592
4.8,	0.451955
5.0,	1.472677
5.2,	2.919248
5.4,	4.559489
5.6,	5.100011
5.8,	4.415545
6.0,	3.631612
6.2,	2.747850
6.4,	2.170115
6.6,	2.251257
6.8,	2.817194
7.0,	3.563642
7.2,	4.625219
7.4,	5.893128
7.6,	6.695418
7.8,	8.195984
8.0,	10.865232
8.2,	13.145323
8.4,	14.076804
8.6,	11.552756
8.8,	8.208111
9.0,	7.130827
9.2,	7.181809
9.4,	7.209249
9.6,	6.273325
9.8,	4.627865
10.0,	3.444172
10.2,	3.175315
10.4,	3.389227
10.6,	3.539045
10.8,	3.642060
11.0,	3.809536
11.2,	3.961089
11.4,	4.126364
11.6,	4.509214
11.8,	4.837514
12.0,	5.159246
12.2,	5.382874
12.4,	5.652688
12.6,	5.698318
12.8,	5.488725
13.0,	5.351279
13.2,	5.374571
13.4,	5.488756
13.6,	5.643502
13.8,	5.743502
14.0,	5.735748
14.2,	5.559620
14.4,	5.197816
14.6,	4.904612
14.8,	4.711790
15.0,	4.556797
