# Op-water distance r (Å), g(r)
0.2,	0.000000
0.4,	0.000000
0.6,	0.000000
0.8,	0.000000
1.0,	0.000000
1.2,	0.000000
1.4,	0.000000
1.6,	0.000000
1.8,	0.000000
2.0,	0.000000
2.2,	0.000000
2.4,	0.000000
2.6,	0.000000
2.8,	0.000000
3.0,	0.000000
3.2,	0.089060
3.4,	11.177279
3.6,	320.805550
3.8,	128.874055
4.0,	0.548018
4.2,	0.001978
4.4,	0.002697
4.6,	0.027087
4.8,	0.088415
5.0,	0.360690
5.2,	1.622934
5.4,	4.321028
5.6,	4.878272
5.8,	2.531279
6.0,	1.542907
6.2,	1.603332
6.4,	1.908578
6.6,	2.209605
6.8,	2.487379
7.0,	3.359059
7.2,	4.460222
7.4,	4.995928
7.6,	6.363776
7.8,	8.895106
8.0,	12.350775
8.2,	14.805592
8.4,	13.488019
8.6,	8.558403
8.8,	4.509875
9.0,	3.053818
9.2,	2.793691
9.4,	2.789575
9.6,	2.906463
9.8,	3.333351
10.0,	3.774605
10.2,	4.254337
10.4,	3.832807
10.6,	3.697086
10.8,	3.858850
11.0,	3.865951
11.2,	3.726210
11.4,	3.750146
11.6,	3.986071
11.8,	4.190391
12.0,	4.126326
12.2,	3.998089
12.4,	4.088071
12.6,	4.262909
12.8,	4.437729
13.0,	4.460733
13.2,	4.239741
13.4,	3.876314
13.6,	3.670503
13.8,	3.694986
14.0,	3.906272
14.2,	4.121060
14.4,	4.239954
14.6,	4.252839
14.8,	4.158791
15.0,	4.009071
