# O2'/H2'-Mg2+ distance r (Å), g(r)
0.2,	0.000000
0.4,	0.000000
0.6,	0.000000
0.8,	0.000000
1.0,	0.000000
1.2,	0.000000
1.4,	0.000000
1.6,	0.000000
1.8,	0.000000
2.0,	0.000000
2.2,	0.000000
2.4,	0.000000
2.6,	0.000000
2.8,	0.000000
3.0,	0.000000
3.2,	0.000000
3.4,	0.000000
3.6,	0.077730
3.8,	0.425062
4.0,	1.678193
4.2,	3.916607
4.4,	5.872687
4.6,	6.195773
4.8,	4.684643
5.0,	3.022124
5.2,	2.101228
5.4,	1.794975
5.6,	2.045483
5.8,	2.388123
6.0,	3.246568
6.2,	4.102904
6.4,	5.239612
6.6,	6.665985
6.8,	6.170263
7.0,	4.446959
7.2,	3.328804
7.4,	3.144942
7.6,	3.220730
7.8,	3.694119
8.0,	4.166495
8.2,	4.731032
8.4,	5.331446
8.6,	5.595055
8.8,	5.806699
9.0,	6.201962
9.2,	6.822416
9.4,	6.792146
9.6,	5.558235
9.8,	4.287108
10.0,	3.567686
10.2,	3.361402
10.4,	3.383503
10.6,	3.402938
10.8,	3.555367
11.0,	3.633852
11.2,	3.609515
11.4,	3.371410
11.6,	3.135138
11.8,	2.861504
12.0,	2.739040
12.2,	2.658640
12.4,	2.553299
12.6,	2.447020
12.8,	2.413861
13.0,	2.339276
13.2,	2.293986
13.4,	2.207118
13.6,	2.230032
13.8,	2.168922
14.0,	2.158306
14.2,	2.119603
14.4,	2.139779
14.6,	2.134386
14.8,	2.149674
15.0,	2.184827
