# O2'/H2'-Mg2+ distance r (Å), g(r)
0.2,	0.000000
0.4,	0.000000
0.6,	0.000000
0.8,	0.000000
1.0,	0.000000
1.2,	0.000000
1.4,	0.000000
1.6,	0.000000
1.8,	0.000000
2.0,	0.000000
2.2,	0.000000
2.4,	0.000000
2.6,	0.000000
2.8,	0.000000
3.0,	0.002845
3.2,	0.012447
3.4,	0.070303
3.6,	0.265626
3.8,	0.540051
4.0,	0.877800
4.2,	1.380713
4.4,	1.820810
4.6,	2.372755
4.8,	2.521781
5.0,	2.443732
5.2,	2.223649
5.4,	2.222575
5.6,	2.112936
5.8,	2.368685
6.0,	2.763542
6.2,	3.299168
6.4,	4.151787
6.6,	4.838771
6.8,	5.256840
7.0,	5.312905
7.2,	5.132704
7.4,	5.071332
7.6,	5.158023
7.8,	5.048158
8.0,	4.680385
8.2,	4.396678
8.4,	4.089739
8.6,	3.847551
8.8,	3.613568
9.0,	3.501332
9.2,	3.377735
9.4,	3.317309
9.6,	3.219679
9.8,	3.371625
10.0,	3.458489
10.2,	3.487569
10.4,	3.511579
10.6,	3.410557
10.8,	3.367657
11.0,	3.223255
11.2,	2.989862
11.4,	2.781322
11.6,	2.564725
11.8,	2.377444
12.0,	2.353804
12.2,	2.293146
12.4,	2.257303
12.6,	2.222561
12.8,	2.185161
13.0,	2.188112
13.2,	2.188749
13.4,	2.189847
13.6,	2.196091
13.8,	2.258163
14.0,	2.216192
14.2,	2.198789
14.4,	2.158898
14.6,	2.084843
14.8,	2.040682
15.0,	1.986051
