# step(ns), run1 rg(Å), run2 rg(Å), run3 rg(Å)
100.0	13.655	12.746	13.490
100.1	13.406	12.699	13.480
100.2	13.655	12.783	13.539
100.3	13.744	13.032	13.367
100.4	13.422	12.839	13.535
100.5	13.260	12.846	13.387
100.6	13.566	13.058	13.235
100.7	13.665	12.902	13.257
100.8	13.619	12.830	13.422
100.9	13.609	12.893	13.347
101.0	13.601	12.779	13.619
101.1	13.717	12.719	13.406
101.2	13.679	12.827	13.622
101.3	13.546	12.856	13.416
101.4	13.553	12.984	13.293
101.5	13.332	12.950	13.469
101.6	13.697	12.950	13.494
101.7	13.583	12.868	13.692
101.8	13.633	12.923	13.619
101.9	13.483	12.814	13.636
102.0	13.400	12.835	13.588
102.1	13.411	12.743	13.627
102.2	13.350	12.655	13.555
102.3	13.377	12.715	13.641
102.4	12.985	12.741	13.426
102.5	12.914	12.777	13.609
102.6	13.226	12.818	13.519
102.7	13.178	12.829	13.405
102.8	13.211	12.668	13.288
102.9	13.324	12.825	13.532
103.0	13.377	12.792	13.321
103.1	13.247	12.722	13.174
103.2	13.194	12.771	13.322
103.3	13.145	12.672	13.188
103.4	13.295	12.941	13.366
103.5	13.315	12.939	13.304
103.6	13.420	12.760	13.255
103.7	13.237	12.858	13.280
103.8	13.510	12.807	13.035
103.9	13.376	12.856	13.139
104.0	13.171	12.623	13.198
104.1	13.296	12.611	13.323
104.2	13.363	12.751	13.238
104.3	13.194	12.730	13.041
104.4	13.209	12.660	13.324
104.5	13.055	12.805	13.310
104.6	13.005	12.732	13.129
104.7	13.107	12.873	13.526
104.8	13.356	12.841	13.534
104.9	13.173	12.665	13.437
105.0	13.117	12.743	13.661
105.1	13.303	12.786	13.644
105.2	13.329	12.874	13.552
105.3	13.421	12.979	13.463
105.4	13.327	12.842	13.636
105.5	13.235	12.850	13.621
105.6	13.219	12.970	13.608
105.7	13.400	12.757	13.584
105.8	13.449	12.979	13.530
105.9	13.171	12.938	13.537
106.0	13.253	13.031	13.528
106.1	13.274	12.964	13.518
106.2	13.179	13.142	13.523
106.3	13.170	13.291	13.543
106.4	13.135	13.027	13.714
106.5	13.134	12.938	13.649
106.6	13.325	13.063	13.622
106.7	13.111	13.143	13.520
106.8	12.939	13.065	13.733
106.9	13.270	13.118	13.750
107.0	13.170	12.982	13.700
107.1	13.319	12.954	13.737
107.2	13.242	12.977	13.653
107.3	13.257	12.835	13.661
107.4	13.319	12.869	13.743
107.5	13.423	12.854	13.645
107.6	13.064	12.818	13.829
107.7	13.244	12.851	13.752
107.8	13.387	12.803	13.745
107.9	13.461	12.845	13.565
108.0	13.310	12.928	13.823
108.1	13.124	12.982	13.792
108.2	13.433	12.893	13.686
108.3	13.397	13.010	13.369
108.4	13.454	12.931	13.407
